                       w                      Re11                         w                      Im11
  7.8539816339744828E-02    1.5478127000000000E-01    7.8539816339744828E-02    3.9059431000000000E-01
  2.3561944901923448E-01    3.9011799999999999E-02    2.3561944901923448E-01    3.5985507000000000E-01
  3.9269908169872414E-01    3.3041279999999999E-02    3.9269908169872414E-01    3.0205789999999999E-01
  5.4977871437821380E-01    3.3942489999999999E-02    5.4977871437821380E-01    2.5661424999999999E-01
  7.0685834705770345E-01    3.4281460000000000E-02    7.0685834705770345E-01    2.2265046999999999E-01
  8.6393797973719311E-01    3.3946390000000000E-02    8.6393797973719311E-01    1.9695319000000000E-01
  1.0210176124166828E+00    3.3166450000000000E-02    1.0210176124166828E+00    1.7707406000000001E-01
  1.1780972450961724E+00    3.2256890000000003E-02    1.1780972450961724E+00    1.6129225000000000E-01
  1.3351768777756621E+00    3.1153900000000002E-02    1.3351768777756621E+00    1.4852425000000000E-01
  1.4922565104551517E+00    3.0191070000000000E-02    1.4922565104551517E+00    1.3788381999999999E-01
  1.6493361431346414E+00    2.8689900000000001E-02    1.6493361431346414E+00    1.2903037000000001E-01
  1.8064157758141310E+00    2.8157800000000000E-02    1.8064157758141310E+00    1.2114219000000000E-01
  1.9634954084936207E+00    2.6979059999999999E-02    1.9634954084936207E+00    1.1469364000000000E-01
  2.1205750411731104E+00    2.5692719999999999E-02    2.1205750411731104E+00    1.0896543000000000E-01
  2.2776546738526000E+00    2.4628850000000001E-02    2.2776546738526000E+00    1.0372365000000000E-01
  2.4347343065320897E+00    2.3758379999999999E-02    2.4347343065320897E+00    9.8983230000000005E-02
  2.5918139392115793E+00    2.2970430000000000E-02    2.5918139392115793E+00    9.4744229999999999E-02
  2.7488935718910690E+00    2.2195840000000001E-02    2.7488935718910690E+00    9.0952450000000004E-02
  2.9059732045705586E+00    2.1413789999999999E-02    2.9059732045705586E+00    8.7532979999999996E-02
  3.0630528372500483E+00    2.0629000000000002E-02    3.0630528372500483E+00    8.4416420000000006E-02
  3.2201324699295379E+00    1.9853949999999999E-02    3.2201324699295379E+00    8.1548140000000005E-02
  3.3772121026090276E+00    1.9100260000000001E-02    3.3772121026090276E+00    7.8888000000000000E-02
  3.5342917352885173E+00    1.8375920000000000E-02    3.5342917352885173E+00    7.6406959999999996E-02
  3.6913713679680069E+00    1.7685289999999999E-02    3.6913713679680069E+00    7.4083769999999993E-02
  3.8484510006474966E+00    1.7029800000000001E-02    3.8484510006474966E+00    7.1902140000000003E-02
  4.0055306333269858E+00    1.6409030000000002E-02    4.0055306333269858E+00    6.9849079999999994E-02
  4.1626102660064763E+00    1.5821419999999999E-02    4.1626102660064763E+00    6.7913650000000006E-02
  4.3196898986859651E+00    1.5264870000000000E-02    4.3196898986859651E+00    6.6086359999999997E-02
  4.4767695313654556E+00    1.4737080000000000E-02    4.4767695313654556E+00    6.4358710000000000E-02
  4.6338491640449444E+00    1.4235760000000000E-02    4.6338491640449444E+00    6.2723000000000001E-02
  4.7909287967244349E+00    1.3758820000000000E-02    4.7909287967244349E+00    6.1172200000000003E-02
  4.9480084294039237E+00    1.3304330000000000E-02    4.9480084294039237E+00    5.9699870000000002E-02
  5.1050880620834143E+00    1.2870560000000000E-02    5.1050880620834143E+00    5.8300140000000000E-02
  5.2621676947629030E+00    1.2456020000000000E-02    5.2621676947629030E+00    5.6967619999999997E-02
  5.4192473274423936E+00    1.2059390000000000E-02    5.4192473274423936E+00    5.5697379999999998E-02
  5.5763269601218823E+00    1.1679490000000001E-02    5.5763269601218823E+00    5.4484930000000001E-02
  5.7334065928013729E+00    1.1315300000000000E-02    5.7334065928013729E+00    5.3326190000000002E-02
  5.8904862254808616E+00    1.0965920000000001E-02    5.8904862254808616E+00    5.2217430000000002E-02
  6.0475658581603522E+00    1.0630519999999999E-02    6.0475658581603522E+00    5.1155239999999998E-02
