                       w                      Re11                         w                      Im11
  7.8539816339744828E-02   -8.0970613246460002E-02    7.8539816339744828E-02   -1.2075913250005235E-03
  2.3561944901923448E-01   -8.0813946301554793E-02    2.3561944901923448E-01   -3.6141528620340425E-03
  3.9269908169872414E-01   -8.0503467781063667E-02    3.9269908169872414E-01   -5.9951890666965759E-03
  5.4977871437821380E-01   -8.0044686277951610E-02    5.4977871437821380E-01   -8.3347711885528881E-03
  7.0685834705770345E-01   -7.9445391819501082E-02    7.0685834705770345E-01   -1.0618476106246427E-02
  8.6393797973719311E-01   -7.8715170705568244E-02    8.6393797973719311E-01   -1.2833762703569247E-02
  1.0210176124166828E+00   -7.7864872934685983E-02    1.0210176124166828E+00   -1.4970177112141296E-02
  1.1780972450961724E+00   -7.6906093463058572E-02    1.1780972450961724E+00   -1.7019397200533550E-02
  1.3351768777756621E+00   -7.5850713404083878E-02    1.3351768777756621E+00   -1.8975146685729485E-02
  1.4922565104551517E+00   -7.4710527699677495E-02    1.4922565104551517E+00   -2.0833018833402429E-02
  1.6493361431346414E+00   -7.3496967288600723E-02    1.6493361431346414E+00   -2.2590249759168360E-02
  1.8064157758141310E+00   -7.2220909852851095E-02    1.8064157758141310E+00   -2.4245474865952885E-02
  1.9634954084936207E+00   -7.0892565004852637E-02    1.9634954084936207E+00   -2.5798492497963656E-02
  2.1205750411731104E+00   -6.9521416690934437E-02    2.1205750411731104E+00   -2.7250049347875557E-02
  2.2776546738526000E+00   -6.8116206153346154E-02    2.2776546738526000E+00   -2.8601654265212190E-02
  2.4347343065320897E+00   -6.6684941402536113E-02    2.4347343065320897E+00   -2.9855421543034864E-02
  2.5918139392115793E+00   -6.5234922497622277E-02    2.5918139392115793E+00   -3.1013941419930358E-02
  2.7488935718910690E+00   -6.3772775164079420E-02    2.7488935718910690E+00   -3.2080173957619432E-02
  2.9059732045705586E+00   -6.2304487958780894E-02    2.9059732045705586E+00   -3.3057362074818269E-02
  3.0630528372500483E+00   -6.0835450189510483E-02    3.0630528372500483E+00   -3.3948959832111804E-02
  3.2201324699295379E+00   -5.9370489151924666E-02    3.2201324699295379E+00   -3.4758572695657047E-02
  3.3772121026090276E+00   -5.7913906085157937E-02    3.3772121026090276E+00   -3.5489907217024039E-02
