                       w                      Re11                         w                      Im11
  7.8539816339744828E-02    4.1565584963130114E-01    7.8539816339744828E-02    2.5777142073866919E-02
  2.3561944901923448E-01    4.0817211237093431E-01    2.3561944901923448E-01    4.2901863380968977E-02
  3.9269908169872414E-01    4.0088630775297518E-01    3.9269908169872414E-01    6.0868037061356212E-02
  5.4977871437821380E-01    3.9255637260644266E-01    5.4977871437821380E-01    7.8986648358320949E-02
  7.0685834705770345E-01    3.8268632881443498E-01    7.0685834705770345E-01    9.6180428673440205E-02
  8.6393797973719311E-01    3.7146043732794143E-01    8.6393797973719311E-01    1.1190792898446270E-01
  1.0210176124166828E+00    3.5921954807911144E-01    1.0210176124166828E+00    1.2592580329349462E-01
  1.1780972450961724E+00    3.4631885423505221E-01    1.1780972450961724E+00    1.3816659454957647E-01
  1.3351768777756621E+00    3.3307711429689491E-01    1.3351768777756621E+00    1.4867295966471233E-01
  1.4922565104551517E+00    3.1975786605113560E-01    1.4922565104551517E+00    1.5755439960719342E-01
  1.6493361431346414E+00    3.0656592523365656E-01    1.6493361431346414E+00    1.6495643976393856E-01
  1.8064157758141310E+00    2.9365182722054278E-01    1.8064157758141310E+00    1.7103893926846886E-01
  1.9634954084936207E+00    2.8111993516372841E-01    1.9634954084936207E+00    1.7596167182302613E-01
  2.1205750411731104E+00    2.6903758409396716E-01    2.1205750411731104E+00    1.7987554906277048E-01
  2.2776546738526000E+00    2.5744375804574610E-01    2.2776546738526000E+00    1.8291796785877265E-01
  2.4347343065320897E+00    2.4635657490237164E-01    2.4347343065320897E+00    1.8521096979267432E-01
  2.5918139392115793E+00    2.3577934844785142E-01    2.5918139392115793E+00    1.8686117530429158E-01
  2.7488935718910690E+00    2.2570527697984882E-01    2.7488935718910690E+00    1.8796073364728147E-01
  2.9059732045705586E+00    2.1612094063738368E-01    2.9059732045705586E+00    1.8858877112398470E-01
  3.0630528372500483E+00    2.0700883207954307E-01    3.0630528372500483E+00    1.8881300807326890E-01
  3.2201324699295379E+00    1.9834913849217067E-01    3.2201324699295379E+00    1.8869135050017746E-01
  3.3772121026090276E+00    1.9012096378216389E-01    3.3772121026090276E+00    1.8827335368321607E-01
  3.5342917352885173E+00    1.8230314384543753E-01    3.5342917352885173E+00    1.8760151325801894E-01
  3.6913713679680069E+00    1.7487477308912019E-01    3.6913713679680069E+00    1.8671237395422577E-01
  3.8484510006474966E+00    1.6781553049855524E-01    3.8484510006474966E+00    1.8563746518087620E-01
  4.0055306333269858E+00    1.6110586945879624E-01    4.0055306333269858E+00    1.8440408175820547E-01
  4.1626102660064763E+00    1.5472711698756966E-01    4.1626102660064763E+00    1.8303593125092216E-01
  4.3196898986859651E+00    1.4866151420206503E-01    4.3196898986859651E+00    1.8155366918498889E-01
  4.4767695313654556E+00    1.4289221978540462E-01    4.4767695313654556E+00    1.7997534157440431E-01
  4.6338491640449444E+00    1.3740329106179056E-01    4.6338491640449444E+00    1.7831675163761271E-01
  4.7909287967244349E+00    1.3217965229029757E-01    4.7909287967244349E+00    1.7659176490809564E-01
  4.9480084294039237E+00    1.2720705635596163E-01    4.9480084294039237E+00    1.7481256443508239E-01
  5.1050880620834143E+00    1.2247204372205522E-01    5.1050880620834143E+00    1.7298986556091223E-01
  5.2621676947629030E+00    1.1796190097416703E-01    5.2621676947629030E+00    1.7113309789116882E-01
  5.4192473274423936E+00    1.1366462029156592E-01    5.4192473274423936E+00    1.6925056053214110E-01
  5.5763269601218823E+00    1.0956886055084686E-01    5.5763269601218823E+00    1.6734955542344676E-01
  5.7334065928013729E+00    1.0566391037933276E-01    5.7334065928013729E+00    1.6543650259898884E-01
  5.8904862254808616E+00    1.0193965324707391E-01    5.8904862254808616E+00    1.6351704042351711E-01
  6.0475658581603522E+00    9.8386534559295052E-02    6.0475658581603522E+00    1.6159611323523146E-01
  6.2046454908398410E+00    9.4995530647437099E-02    6.2046454908398410E+00    1.5967804834274132E-01
  6.3617251235193315E+00    9.1758119531231294E-02    6.3617251235193315E+00    1.5776662394858471E-01
  6.5188047561988203E+00    8.8666253320206431E-02    6.5188047561988203E+00    1.5586512927808310E-01
  6.6758843888783108E+00    8.5712332130357033E-02    6.6758843888783108E+00    1.5397641796292516E-01
  6.8329640215577996E+00    8.2889179404109808E-02    6.8329640215577996E+00    1.5210295554887093E-01
  6.9900436542372901E+00    8.0190018535537116E-02    6.9900436542372901E+00    1.5024686185492736E-01
  7.1471232869167789E+00    7.7608450715979535E-02    7.1471232869167789E+00    1.4840994879845915E-01
  7.3042029195962694E+00    7.5138433926882353E-02    7.3042029195962694E+00    1.4659375421020118E-01
  7.4612825522757582E+00    7.2774263016386107E-02    7.4612825522757582E+00    1.4479957208988814E-01
  7.6183621849552488E+00    7.0510550804034983E-02    7.6183621849552488E+00    1.4302847969328508E-01
  7.7754418176347375E+00    6.8342210164080014E-02    7.7754418176347375E+00    1.4128136179183037E-01
  7.9325214503142281E+00    6.6264437042510033E-02    7.9325214503142281E+00    1.3955893240463421E-01
  8.0896010829937168E+00    6.4272694366435845E-02    8.0896010829937168E+00    1.3786175426750977E-01
  8.2466807156732074E+00    6.2362696807040131E-02    8.2466807156732074E+00    1.3619025627375630E-01
  8.4037603483526961E+00    6.0530396359223540E-02    8.4037603483526961E+00    1.3454474909557945E-01
  8.5608399810321867E+00    5.8771968702517656E-02    8.5608399810321867E+00    1.3292543917256611E-01
  8.7179196137116755E+00    5.7083800308954963E-02    8.7179196137116755E+00    1.3133244123395313E-01
  8.8749992463911660E+00    5.5462476264500682E-02    8.8749992463911660E+00    1.2976578950408235E-01
  9.0320788790706548E+00    5.3904768771454795E-02    9.0320788790706548E+00    1.2822544772506869E-01
  9.1891585117501453E+00    5.2407626299983946E-02    9.1891585117501453E+00    1.2671131811703856E-01
  9.3462381444296341E+00    5.0968163357690305E-02    9.3462381444296341E+00    1.2522324938409329E-01
  9.5033177771091246E+00    4.9583650846891057E-02    9.5033177771091246E+00    1.2376104386323410E-01
  9.6603974097886134E+00    4.8251506980088558E-02    9.6603974097886134E+00    1.2232446390369436E-01
  9.8174770424681039E+00    4.6969288724959320E-02    9.8174770424681039E+00    1.2091323755533200E-01
  9.9745566751475927E+00    4.5734683751086080E-02    9.9745566751475927E+00    1.1952706363683215E-01
  1.0131636307827083E+01    4.4545502851591562E-02    1.0131636307827083E+01    1.1816561624735827E-01
  1.0288715940506572E+01    4.3399672813805551E-02    1.0288715940506572E+01    1.1682854877889118E-01
  1.0445795573186063E+01    4.2295229714094967E-02    1.0445795573186063E+01    1.1551549748073157E-01
  1.0602875205865551E+01    4.1230312613005422E-02    1.0602875205865551E+01    1.1422608462245507E-01
  1.0759954838545042E+01    4.0203157627891978E-02    1.0759954838545042E+01    1.1295992129693427E-01
  1.0917034471224531E+01    3.9212092361248334E-02    1.0917034471224531E+01    1.1171660990083740E-01
  1.1074114103904021E+01    3.8255530663971249E-02    1.1074114103904021E+01    1.1049574632622408E-01
  1.1231193736583510E+01    3.7331967713812517E-02    1.1231193736583510E+01    1.0929692189345031E-01
  1.1388273369263000E+01    3.6439975390269046E-02    1.1388273369263000E+01    1.0811972505252546E-01
  1.1545353001942489E+01    3.5578197928138107E-02    1.1545353001942489E+01    1.0696374287730404E-01
  1.1702432634621980E+01    3.4745347832914483E-02    1.1702432634621980E+01    1.0582856237440944E-01
  1.1859512267301469E+01    3.3940202042126708E-02    1.1859512267301469E+01    1.0471377162655446E-01
  1.2016591899980959E+01    3.3161598317597289E-02    1.2016591899980959E+01    1.0361896078791254E-01
  1.2173671532660448E+01    3.2408431854466534E-02    1.2173671532660448E+01    1.0254372294738794E-01
  1.2330751165339938E+01    3.1679652093637704E-02    1.2330751165339938E+01    1.0148765487400854E-01
  1.2487830798019427E+01    3.0974259725084469E-02    1.2487830798019427E+01    1.0045035765720581E-01
  1.2644910430698918E+01    3.0291303870207620E-02    1.2644910430698918E+01    9.9431437253433147E-02
  1.2801990063378407E+01    2.9629879432138212E-02    1.2801990063378407E+01    9.8430504949396799E-02
  1.2959069696057897E+01    2.8989124603558170E-02    1.2959069696057897E+01    9.7447177751112030E-02
  1.3116149328737386E+01    2.8368218522248401E-02    1.3116149328737386E+01    9.6481078707047821E-02
  1.3273228961416876E+01    2.7766379065178370E-02    1.3273228961416876E+01    9.5531837172766296E-02
  1.3430308594096365E+01    2.7182860772522244E-02    1.3430308594096365E+01    9.4599089023697014E-02
  1.3587388226775856E+01    2.6616952893524774E-02    1.3587388226775856E+01    9.3682476821994515E-02
  1.3744467859455344E+01    2.6067977546647813E-02    1.3744467859455344E+01    9.2781649942810379E-02
  1.3901547492134835E+01    2.5535287986905311E-02    1.3901547492134835E+01    9.1896264664751731E-02
  1.4058627124814324E+01    2.5018266973744076E-02    1.4058627124814324E+01    9.1025984228801315E-02
  1.4215706757493814E+01    2.4516325233248829E-02    1.4215706757493814E+01    9.0170478869523341E-02
  1.4372786390173303E+01    2.4028900008846353E-02    1.4372786390173303E+01    8.9329425821977615E-02
  1.4529866022852794E+01    2.3555453695054601E-02    1.4529866022852794E+01    8.8502509307402083E-02
  1.4686945655532282E+01    2.3095472549170812E-02    1.4686945655532282E+01    8.7689420500399379E-02
  1.4844025288211773E+01    2.2648465476118981E-02    1.4844025288211773E+01    8.6889857480070859E-02
  1.5001104920891262E+01    2.2213962881982411E-02    1.5001104920891262E+01    8.6103525167280384E-02
  1.5158184553570752E+01    2.1791515592032903E-02    1.5158184553570752E+01    8.5330135249994485E-02
  1.5315264186250241E+01    2.1380693829336075E-02    1.5315264186250241E+01    8.4569406098434774E-02
  1.5472343818929732E+01    2.0981086250262307E-02    1.5472343818929732E+01    8.3821062671589161E-02
  1.5629423451609220E+01    2.0592299033467230E-02    1.5629423451609220E+01    8.3084836416458335E-02
  1.5786503084288711E+01    2.0213955019124281E-02    1.5786503084288711E+01    8.2360465161261706E-02
  1.5943582716968200E+01    1.9845692895397095E-02    1.5943582716968200E+01    8.1647693003689792E-02
  1.6100662349647688E+01    1.9487166429330051E-02    1.6100662349647688E+01    8.0946270195167772E-02
  1.6257741982327179E+01    1.9138043739514943E-02    1.6257741982327179E+01    8.0255953021984447E-02
  1.6414821615006669E+01    1.8798006608058308E-02    1.6414821615006669E+01    7.9576503684042676E-02
  1.6571901247686160E+01    1.8466749829530359E-02    1.6571901247686160E+01    7.8907690171898234E-02
  1.6728980880365647E+01    1.8143980594722511E-02    1.6728980880365647E+01    7.8249286142675373E-02
  1.6886060513045138E+01    1.7829417907176726E-02    1.6886060513045138E+01    7.7601070795375912E-02
  1.7043140145724628E+01    1.7522792030577630E-02    1.7043140145724628E+01    7.6962828746035633E-02
  1.7200219778404119E+01    1.7223843965217221E-02    1.7200219778404119E+01    7.6334349903124071E-02
  1.7357299411083606E+01    1.6932324951853681E-02    1.7357299411083606E+01    7.5715429343533480E-02
  1.7514379043763096E+01    1.6647996001389588E-02    1.7514379043763096E+01    7.5105867189457221E-02
  1.7671458676442587E+01    1.6370627448892425E-02    1.7671458676442587E+01    7.4505468486416593E-02
  1.7828538309122077E+01    1.6099998530571084E-02    1.7828538309122077E+01    7.3914043082659323E-02
