                       w                      Re11                         w                      Im11
  7.8539816339744828E-02    5.3937946667222891E-01    7.8539816339744828E-02   -3.7026986749772964E-02
  2.3561944901923448E-01    5.2703103441483656E-01    2.3561944901923448E-01   -1.0750440247146834E-01
  3.9269908169872414E-01    5.0346759523857920E-01    3.9269908169872414E-01   -1.6881106280360175E-01
  5.4977871437821380E-01    4.7143780349721054E-01    5.4977871437821380E-01   -2.1828938393229136E-01
  7.0685834705770345E-01    4.3455558373793440E-01    7.0685834705770345E-01   -2.5560297097305013E-01
  8.6393797973719311E-01    3.9611783605034634E-01    8.6393797973719311E-01   -2.8183078614717233E-01
  1.0210176124166828E+00    3.5851160381344327E-01    1.0210176124166828E+00   -2.9874006938681308E-01
  1.1780972450961724E+00    3.2318142046004988E-01    1.1780972450961724E+00   -3.0825964326962663E-01
  1.3351768777756621E+00    2.9084041743762429E-01    1.3351768777756621E+00   -3.1216762779702889E-01
  1.4922565104551517E+00    2.6171662075699126E-01    1.4922565104551517E+00   -3.1195667153411344E-01
  1.6493361431346414E+00    2.3575138501126688E-01    1.6493361431346414E+00   -3.0881049504443669E-01
  1.8064157758141310E+00    2.1273540012672720E-01    1.8064157758141310E+00   -3.0363460948312404E-01
  1.9634954084936207E+00    1.9239330123933393E-01    1.9634954084936207E+00   -2.9710548453054419E-01
  2.1205750411731104E+00    1.7443259975104908E-01    2.1205750411731104E+00   -2.8972019245166131E-01
  2.2776546738526000E+00    1.5856999125507029E-01    2.2776546738526000E+00   -2.8183933872485684E-01
  2.4347343065320897E+00    1.4454412397075395E-01    2.4347343065320897E+00   -2.7372153489063766E-01
  2.5918139392115793E+00    1.3212062131483845E-01    2.5918139392115793E+00   -2.6554999308846633E-01
  2.7488935718910690E+00    1.2109287323469949E-01    2.7488935718910690E+00   -2.5745258159918510E-01
  2.9059732045705586E+00    1.1128065867939275E-01    2.9059732045705586E+00   -2.4951675240832871E-01
  3.0630528372500483E+00    1.0252777690088687E-01    3.0630528372500483E+00   -2.4180056899222627E-01
  3.2201324699295379E+00    9.4699340526518419E-02    3.2201324699295379E+00   -2.3434081897035028E-01
